idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
171	[[0.90606475]]	For example, the moving ice carved out the landscape in Canada (See Canadian Arctic Archipelago), Greenland, northern Eurasia and Antarctica.	உதாரணத்திற்கு, கனடா (பார்க்க கனடிய ஆர்டிக் தீவுகள்), கிரீன்லாந்து, வடக்கு யூரோஷியா மற்றும் அண்டார்டிகா ஆகியவற்றில் நகரும் பனிக்கட்டி நிலவமைப்பை சுரண்டியிருக்கிறது.	0.90606475	True	True
271	[[0.94120526]]	Cape Town is the economic hub of the Western Cape province, South Africa's second main economic centre and Africa's third main economic hub city.	கேப் டவுன் மேற்கு கேப் மாகாணத்தின் பொருளாதார மையமாக விளங்குகிறது, தென்னாப்பிரிக்காவின் இரண்டாவது முக்கிய பொருளாதார மையம் மற்றும் ஆப்பிரிக்காவின் மூன்றாவது முக்கிய பொருளாதார மையம் ஆகும்.	0.94120526	True	True
412	[[0.91183287]]	It is connected through both road and rail.	இது சாலை மற்றும் தொடருந்து பாதை ஆகிய இண்டின் வழியாகவும் இணைக்கப்பட்டுள்ளது.	0.91183287	False	True
497	[[0.92081076]]	Police are carrying out further investigation into the incident.	இச் சம்பவம் குறித்து மேலதிக விசாரணைகளை பதுளை பொலிஸார் மேற்கொண்டு வருகின்றனர்.	0.92081076	True	True
569	[[0.9051283]]	More than 150 students are studying these courses.	இந்த பள்ளியில் 150க்கும் மேற்பட்ட மாணவ – மாணவிகள் படித்து வருகின்றனர்.	0.9051283	False	True
578	[[0.9069974]]	The total Revenue and Capital Expenditure till end-December 2004, according to the pre actuals, is estimated at Rs.20,767.03 crores.	உத்தேச கணக்குகளின் நிலவரப்படி, 2004 டிசம்பர் இறுதி வரையில் வருவாய் மற்றும் மூலதனக் கணக்கில் மொத்த செலவு ரூபாய் 20767.03 கோடி என மதிப்பிடப்பட்டுள்ளது.	0.9069974	True	True
647	[[0.9237896]]	Hindi is the most widely spoken language in the northern parts of India.	இந்தியாவின் வடக்குப் பகுதிகளில் மிகவும் பரவலாக பேசப்படும் மொழி இந்தி ஆகும்.	0.9237896	True	True
732	[[0.90812516]]	The police had arrested father and brother of Neenu in connection with the murder of Kevin Joseph.	கெவினை கொலை செய்த குற்றத்திற்காக நீனுவின் தந்தை மற்றும் அண்ணனை பொலிசார் கைது செய்துள்ளனர்.	0.90812516	True	True
733	[[0.9246439]]	The Prime Minister, Shri Narendra Modi, today addressed the 8th International Convention of Saurashtra Patel Cultural Samaj through video conference.	பிரதமர் திரு. நரேந்திர மோடி இன்று நடந்த எட்டாவது சர்வதேச சவுராஷ்டிரா பட்டேல் கலாச்சார சமாஜ் மாநாட்டில் காணொலி காட்சி மூலம் உரையாற்றினார்.	0.9246439	True	True
750	[[0.9345168]]	He was received by Governor Banwarilal Purohit, Chief Minister Edappadi K Palaniswami and Deputy CM O Panneerselvam at the airport.	விமான நிலையத்தில் அவரை ஆளுநர் பன்வாரிலால் புரோகித், முதலமைச்சர் எடப்பாடி பழனிச்சாமி, துணை முதலமைச்சர் ஓ. பன்னீர்செல்வம் உள்ளிட்டோர் வரவேற்றனர்.	0.9345168	True	True
786	[[0.9367422]]	BJP president Amit Shah is a director in the bank.	அந்த வங்கியின் இயக்குனராக பா. ஜ. க. தலைவர் அமித் ஷா உள்ளார்.	0.9367422	True	True
1020	[[0.9052834]]	He has been treating burn patients for free since 1985.	இவர் 1985 முதல் தீயினால் பாதிக்கப்பட்ட நோயாளிகளுக்கு இலவசமாக சிகிச்சை அளித்து வருகிறார்.	0.9052834	True	True
1144	[[0.90910804]]	1, 2. (a) In what sense are true Christians at war?	1, 2. ( அ) உண்மைக் கிறிஸ்தவர்கள் எப்படிப்பட்ட போரில் ஈடுபட்டிருக்கிறார்கள்?	0.90910804	True	True
1299	[[0.9424598]]	However, there was nothing phony about the sudden attack by the Germans on May 10, 1940.	என்றபோதிலும், 1940 மே 10 ஜெர்மானியர்களின் திடீர் தாக்குதலில் போலித்தனம் எதுவுமிருக்கவில்லை.	0.9424598	True	True
1330	[[0.9072356]]	If the land was Chinese: 1.Why were our soldiers killed?	அந்தப் பகுதி சீனப் பகுதியாக இருந்தால் : 1. நமது வீரர்கள் ஏன் கொல்லப்பட்டனர்?	0.9072356	True	True
1408	[[0.9292822]]	Police have registered a murder case and started investigation.	இந்த கொலை சம்பவம் குறித்து வழக்குப்பதிவு செய்து போலீசார் விசாரணையை தொடங்கியுள்ளனர்.	0.9292822	True	True
1475	[[0.90918195]]	The police is investigating into the incident.	இச்சம்பவம் தொடர்பாக வழக்கு பதிவு செய்துள்ள பொலிசார் விசாரணை நடத்தி வருகின்றனர்.	0.90918195	False	True
1554	[[0.90198445]]	How important it is for all of us to cultivate that wholesome fear!	அந்த ஆரோக்கியமான பயத்தை வளர்த்துக் கொள்வது நம் அனைவருக்கும் எவ்வளவு முக்கியமாக இருக்கிறது!	0.90198445	True	True
1605	[[0.91779065]]	Polling takes place in Assam, Bihar, Chhattisgarh, Jammu and Kashmir, Karnataka, Maharashtra, Manipur, Odisha, Puducherry, Tamil Nadu Tripura, Uttar Pradesh and West Bengal.	அசாம், பீகார், சத்தீஸ்கர், ஜம்மு & காஷ்மீர்,கர்நாடகா, மஹாராஷ்டிரா, மணிப்பூர், ஒடிஷா, புதுச்சேரி, தமிழ்நாடு, உத்தரபிரதேசம் மற்றும் மேற்கு வங்காளம் உள்ளிட்டவற்றில் தேர்தல் நடைபெறுகிறது.	0.91779065	True	True
1723	[[0.9161411]]	For the financial year 2017-2018, Rs.20 crore has been allocated under this scheme	இத்திட்டத்தின் கீழ் 2017-2018ஆம் நிதியாண்டில் ரூ.20 கோடி உத்தேச நிதி ஒதுக்கீடு அளிக்கப்பட்டுள்ளது.	0.9161411	True	True
1793	[[0.90003216]]	Police resorted to firing water cannons and tear gas to disperse the protestors.	ஆர்ப்பாட்டக்காரர்களை அப்புறப்படுத்துவதற்காக பொலிஸார் நீர்த்தாரை மற்றும் கண்ணீர்ப் புகை வீச்சுக்களை முன்னெடுத்தனர்.	0.90003216	True	True
1830	[[0.90485287]]	Justices J Chelameswar, Ranjan Gogoi, Madan Lokur and Kurien Joseph addressed the media at Justice Chelameswars home in Delhi.	உச்சநீதிமன்ற நீதிபதிகள் செல்லமேஸ்வர், ரஞ்சன் கோகாய், மதன் லோகூர் மற்றும் குரியன் ஜோசஃப் ஆகியோர் டெல்லியில் நீதிபதி செல்லமேஸ்வர் இல்லத்தில் செய்தியாளர்களை சந்தித்தனர்.	0.90485287	True	True
1933	[[0.90017366]]	It is the country's political, cultural, educational and financial center.	நாட்டின் பிரதான அரசியல், கல்வி, கலாச்சார மற்றும் நிதியியல் மையமாக இந்நகரம் விளங்குகின்றது.	0.90017366	True	True
2071	[[0.91489655]]	Police say they are probing the matter and appropriate action will be taken once the inquiry is complete.	இந்த வழக்கு குறித்து விசாரித்து வருவதாகவும், விசாரணை முடிந்தவுடன் உரிய நடவடிக்கைகள் எடுக்கப்படும் எனவும் பொலிஸார் தெரிவித்துள்ளனர்.	0.91489655	True	True
2345	[[0.91009665]]	Some shots of Jayan were added to the film's opening reel before the credits at screenings in Kerala.	கேரளாவில் திரையிடல்களில் வரவுகளுக்கு முன்னர் ஜெயனின் சில காட்சிகளும் படத்தின் தொடக்கக் காட்சிகளில் சேர்க்கப்பட்டன.	0.91009665	True	True
2376	[[0.90285385]]	Each of those not only helps us to identify the right religion but also presents us personally with challenges and opportunities.	அவை ஒவ்வொன்றும் சரியான மதத்தை அடையாளம் கண்டுகொள்ள நமக்கு உதவி செய்வது மட்டுமல்லாமல், சவால்களையும் வாய்ப்புகளையுங்கூட நமக்குத் தனிப்பட அறிமுகப்படுத்துகிறது.	0.90285385	True	True
2402	[[0.9093686]]	We do need new ways of telling history, and this year, for example, we started a new online project that is called 1968Digital.com, and that is an online documentary series that gives you an impression of that year, 1968, a year marked by global social change that, in many ways, created the world as we know it now.	வரலாற்றைக் கூற புதிய முறைகள் தேவை. உதாரணத்திற்கு, இந்த ஆண்டு, 1968டிஜிட்டல்.காம் எனப்படும் புதிய இணையத்திட்டம் ஒன்றை தொடங்கினோம். இது சமூக மாற்றத்தை படைத்து, இன்றைய உலகை உருவாக்கிய 1968 ஆம் ஆண்டை தெளிவாக காட்டும் இணைய ஆவணப்படத் தொடர்நிகழ்வு ஆகும்.	0.9093686	True	True
2648	[[0.900463]]	17 day non- residential Tamil language training programme for newly recruited nurses	புதிதாக சேவைக்கு அமர்த்தப்பட்ட தாதியர்களுக்காக நடாத்தப்பட்ட தங்குமிட வசதிற்ற 17 நாள் தமிழ் மொழிக் கற்கைநெறி	0.900463	True	True
2859	[[0.9230653]]	Vedalai is a village in Ramanathapuram district, Tamil Nadu state in southern India.	வேதாளை இந்தியாவின் தமிழ்நாடு மாநிலத்தில் இராமநாதபுரம் மாவட்டத்தில் கிழக்கு பகுதியில் அமைந்துள்ள கிராமம் ஆகும் .	0.9230653	True	True
