idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
70	[[0.92219347]]	India was humiliated in the first match of the series in Adelaide after they were bowled out for just 36 runs in the second innings.	അഡ്‌ലെയ്ഡിലെ ആദ്യ ടെസ്റ്റില്‍ ഒന്നാം ഇന്നിംഗ്സ് ലീഡ് നേടിയശേഷം രണ്ടാം ഇന്നിംഗ്സില്‍ വെറും 36 റണ്‍സിന് പുറത്തായാണ് ഇന്ത്യ ദയനീയ തോല്‍വി ഏറ്റുവാങ്ങിയത്.	0.92219347	True	True	അഡിലെയ്ഡിലെ പരമ്പരയിലെ ആദ്യ മത്സരത്തിൽ ഇന്ത്യ 36 റൺസിന് പുറത്താക്കപ്പെട്ടതിനെ തുടർന്ന് അപമാനിക്കപ്പെട്ടു.
104	[[0.90298736]]	"""""""""""""""Critically examine the role of Governor in the State politics in India, particularly in Bihar."""""""	‘‘ഇന്ത്യയിലെ സംസ്ഥാന രാഷ്​ട്രീയത്തിൽ, പ്രത്യേകിച്ച്​ ബിഹാറിൽ ഗവർണറുടെ പങ്കിനെ കുറിച്ച്​ വിമർശനാത്മകമായി വിലയിരുത്തുക.	0.90298736	True	True	ഇന്ത്യയിലെ സംസ്ഥാന രാഷ്ട്രീയത്തിൽ ഗവർണറുടെ പങ്കിനെ വിമർശനാത്മകമായി പരിശോധിക്കുക, പ്രത്യേകിച്ചും ബിഹാറിൽ.
232	[[0.92016065]]	Meanwhile, the state government has announced Rs 10 lakh assistance for the deceased's family.	അതേസമയം, അപകടത്തില്‍ മരിച്ചവരുടെ കുടുംബങ്ങള്‍ക്ക് 10 ലക്ഷം രൂപ ധന സഹായം നല്‍കുമെന്ന് സംസ്ഥാന സര്‍ക്കാര്‍ അറിയിച്ചിരുന്നു.	0.92016065	True	True	അതേസമയം, സംസ്ഥാന സർക്കാർ മരണപ്പെട്ടയാളുടെ കുടുംബത്തിന് 10 ലക്ഷം രൂപാ സഹായം പ്രഖ്യാപിച്ചു.
359	[[0.92146456]]	Thiruvananthapuram: Former Chief Minister Oommen Chandy has responded to the claim that Ganesh Kumar was behind the sexual assault allegation that was raised against him in the Solar case.	തിരുവനന്തപുരം: സോളാര്‍ കേസില്‍ തന്റെ പേരില്‍ ലൈംഗീക ആരോപണം ഉയര്‍ന്നതിന് പിന്നില്‍ ഗണേഷ് കുമാറാണെന്ന വെളിപ്പെടുത്തലില്‍ പ്രതികരണവുമായി മുന്‍ മുഖ്യമന്ത്രി ഉമ്മന്‍ചാണ്ടി.	0.92146456	True	True	തിരുവനന്തപുരം: മുൻ മുഖ്യമന്ത്രി ഉമ്മൻ ചാണ്ടി സോളാർ കേസിൽ തന്നെതിരെ ഉയർന്ന ലൈംഗിക അതിക്രമാരോപണത്തിന്റെ പിന്നിൽ ഗണേഷ് കുമാർ ആണെന്ന അവകാശത്തിന് മറുപടി നൽകി.
738	[[0.90668786]]	Genesis 3: 17 - 19 and Romans 5: 12 are cited.	ഉല്‌പത്തി 3: 17 - 19. റോമർ 5: 12 എന്നിവ ​ യാണ്‌ പരാമർശി ​ ച്ചി ​ രി ​ ക്കുന്ന വാക്യങ്ങൾ.	0.90668786	True	True	ജെനസിസ് 3: 17-19, റോമർസ് 5: 12 എന്നിവ ഉദ്ധരിക്കപ്പെടുന്നു.
919	[[0.9192071]]	The police have started an investigation after school authorities filed a complaint.	സ്കൂൾ അധികൃതർ പരാതി നൽകിയതിനെ തുടർന്ന് സംഭവത്തില്‍ പൊലീസ് അന്വേഷണം ആരംഭിച്ചിട്ടുണ്ട്.	0.9192071	True	True	പോലീസ് സ്കൂൾ അധികാരികളുടെ പരാതിയെ തുടർന്ന് അന്വേഷണം ആരംഭിച്ചു.
1044	[[0.9008995]]	Under the scheme, senior citizens will receive a fixed interest rate of 8 per cent for a period of 10 years, on deposits upto 7.5 lakh rupees.	ഈ പദ്ധതിക്കു കീഴില്‍ 7.5 ലക്ഷം രൂപ വരെയുള്ള നിക്ഷേപങ്ങള്‍ക്ക് പത്തുവര്‍ഷം വരെ മുതിര്‍ന്ന പൗരന്മാര്‍ക്ക് 8 ശതമാനം നിശ്ചിത പലിശ നിരക്ക് ലഭിക്കും.	0.9008995	True	True	സ്കീം പ്രകാരം, വാർദ്ധക്യവുംപെരും 10 വർഷത്തേക്ക് 8 ശതമാനം നിശ്ചിത വാടകനിരക്ക് ലഭിക്കും, 7.5 ലക്ഷം രൂപയ്ക്ക് മുകളിൽ നിക്ഷേപങ്ങൾക്ക്.
1077	[[0.92166376]]	The film will simultaneously release in Tamil, Telugu , Hindi, Malayalam and Kannada.	ഒരേസമയം ഹിന്ദി, തെലുഗു, തമിഴ്, മലയാളം, കന്നട എന്നീ ഭാഷകളിലാണ് ചിത്രീകരണം.	0.92166376	True	True	ചിത്രം തമിഴ്, തെലുഗു, ഹിന്ദി, മലയാളം, കന്നഡം എന്നീ ഭാഷകളിൽ ഒരേ സമയം റിലീസ് ചെയ്യും.
1078	[[0.9091547]]	Scientists around the world say any widely-used vaccine should first be tested in advanced trials involving tens of thousands of people to prove it is safe and effective before being licensed.	ലോകമെമ്പാടുമുള്ള ശാസ്ത്രജ്ഞര്‍ പറയുന്നത്, ലൈസന്‍സുള്ളതിന് മുമ്പ് സുരക്ഷിതവും ഫലപ്രദവുമാണെന്ന് തെളിയിക്കാന്‍ പതിനായിരക്കണക്കിന് ആളുകള്‍ ഉള്‍പ്പെടുന്ന വിപുലമായ പരീക്ഷണങ്ങളില്‍ ആദ്യം വ്യാപകമായി ഉപയോഗിക്കുന്ന ഏതെങ്കിലും വാക്‌സിന്‍ പരീക്ഷിക്കണം എന്നാണ്.	0.9091547	True	True	ലോകമെമ്പാടുമുള്ള ശാസ്ത്രജ്ഞർ പറയുന്നത്, ഏതെങ്കിലും വ്യാപകമായി ഉപയോഗിക്കുന്ന വാക്സിനുകൾ ആദ്യം പത്തായിരക്കണക്കിന് ആളുകളെ ഉൾപ്പെടുത്തിക്കൊണ്ടുള്ള ഉന്നതതലത്തിലുള്ള പരീക്ഷണങ്ങളിൽ പരീക്ഷിക്കപ്പെടേണ്ടതാണ്, അത് സുരക്ഷിതവും ഫലപ്രദവുമാണെന്ന് തെളിയിക്കുന്നതിനുമുമ്പ് അനുമതി നൽകുന്നതിന്.
1101	[[0.9046426]]	The BSP is contesting 38 of the 80 seats in UP, SP on 37 and RLD on three.	80 സീറ്റുകളുള്ള യുപിയില്‍ എസ്‌പി 37 ഇടങ്ങളിലും ബിഎസ്‌പി 38 ഇടങ്ങളിലും ആര്‍എല്‍ഡിയാണ് മൂന്ന് സീറ്റിലുമാണ് മത്സരിക്കുക.	0.9046426	True	True	യുപിയിലെ 80 സീറ്റുകളിൽ 38 എണ്ണം ബിഎസ്പി മത്സരിക്കുന്നു, എസ്പി 37 ഉം ആർഎൽഡി 3 ഉം.
