idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans	ollama_bleu_score	ollama_f1_score	ollama_meteor_score
25	[[0.9318145]]	However, there has been no official statement on this yet.	అయితే ఈ విషయమై ఆయన నుండి ఇప్పటి వరకు ఎలాంటి అధికారిక ప్రకటన కూడా వెలువడలేదు.	0.9318145	True	True	అయితే, ఇప్పటికి వారు ఈ విషయంపై అధికారిక ప్రకటన చేయలేదు.	0.0	tensor([0.8253])	0.2929133858267717
102	[[0.91648906]]	Rajasthan Sports University (Hindi: ) is a newly established first public sports university situated in the Jhunjhunu Town of the Indian state Rajasthan to promote the sports education in state Rajasthan.	రాజస్థాన్ క్రీడా విశ్వవిద్యాలయం, రాజస్థాన్‌ రాష్ట్రంలో క్రీడా విద్యను ప్రోత్సహించడానికి ఝున్‌ఝును పట్టణంలో కొత్తగా స్థాపించబడిన మొదటి ప్రభుత్వ క్రీడా విశ్వవిద్యాలయం.	0.91648906	True	True	రాజస్థాన్ క్రీడా విశ్వవిద్యాలయం (హిందీ: राजस्थान क्रीड़ा विश्वविद्यालय) భారతీయ రాష్ట్రమైన రాజస్థాన్ లోని ఝున్ఝును పట్టణంలో ఉన్న కొత్తగా స్థాపించబడిన మొదటి ప్రభుత్వ క్రీడా విశ్వవిద్యాలయం, రాజస్థాన్ రాష్ట్రంలో క్రీడా విద్యను ప్రోత్సహించడానికి.	0.3	tensor([0.9097])	0.6979370117187499
440	[[0.9048451]]	In fulfillment of Isaiah 21: 8, what watchman has God had in our time?	యెషయా 21: 8 నెరవేర్పులో, మన కాలంలో ఏ “కావలివాడు ” దేవునికి ఉన్నాడు?	0.9048451	True	True	ఇసయ్యా 21: 8 నెరవేర్చినందుకు, మన కాలంలో దేవుడు ఏ వీక్షకులను ఉంచారు?	0.0	tensor([0.8172])	0.5067567567567567
508	[[0.919876]]	In 1995 Bavaria introduced direct democracy on the local level in a referendum.	1995లో బవేరియా ప్రత్యక్ష ప్రజాస్వామ్యాన్ని ప్రజాభిప్రాయ సేకరణలోని స్థానిక స్థాయిలో ప్రవేశపెట్టింది.	0.919876	True	True	1995లో బవేరియా స్థానిక స్థాయిలో ప్రత్యక్ష ప్రజాస్వామ్యాన్ని ఒక రెఫరెండంలో ప్రవేశపెట్టారు.	0.0	tensor([0.8951])	0.6346938775510204
520	[[0.93472356]]	However, an official announcement in this regard is yet to be made.	అయితే ఇందుకు సంబంధించిన అధికారిక ప్రకటన మాత్రం ఇంకా వెలువడాల్పి ఉంది.	0.93472356	True	True	అయితే, ఈ సందర్భంలో వారు అధికారిక ప్రకటన చేయలేదు.	0.0	tensor([0.7743])	0.3188131313131313
531	[[0.90108675]]	Of those interviewed, 89 percent said that it takes good health. 79 percent mentioned a satisfying marriage or partnership. 62 percent pointed to the rewards of parenthood. and 51 percent thought a successful career was needed for happiness.	అలా ఇంటర్వ్యూ చేయబడినవారిలో 89 శాతం మంది సంతోషంగా ఉండాలంటే మంచి ఆరోగ్యం అవసరం అన్నారు. 79 శాతం మంది సంతృప్తికరమైన కుటుంబ జీవితం లేక భాగస్వామ్యం అన్నారు. 62 శాతం మంది తల్లిదండ్రులవడం ద్వారా లభించే ప్రతిఫలాలు అన్నారు. 51 శాతం మంది విజయవంతమైన జీవనోపాధి మార్గం అవసరం అన్నారు.	0.90108675	True	True	అన్ని ఇంటర్వ్యూలు చేసిన వారిలో, 89 శాతం మంది ఆరోగ్యం మంచిదని చెప్పారు. 79 శాతం మంది సంతోషకరమైన వివాహం లేదా భాగస్వామ్యం పేర్కొన్నారు. 62 శాతం మంది పిల్లల పెంపకం యొక్క ఫలితాలను సూచించారు. మరియు 51 శాతం మంది సఫలమైన వృత్తి ఆనందానికి అవసరమని భావించారు.	0.17	tensor([0.7851])	0.4207793775845936
536	[[0.93838733]]	More details about the film will be revealed soon.	ఈ సినిమా గురించి మరిన్ని వివరాలను త్వరలో రివీల్ చెయ్యబోతున్నారు .	0.93838733	True	True	చిత్రం గురించి మరిన్ని వివరాలు వీరు త్వరలో వెల్లడిస్తారు.	0.0	tensor([0.8352])	0.3546348314606741
585	[[0.92177737]]	Teach your children Bible truth whenever possible (See paragraph 10)	అవకాశం దొరికినప్పుడల్లా మీ పిల్లలకు బైబిలు సత్యాన్ని బోధించండి (10వ పేరా చూడండి)	0.92177737	True	True	మీ పిల్లలకు సద్వచన సత్యాలను సాధ్యమైనంత వరకు బోధించండి (పేరా 10 చూడండి)	0.0	tensor([0.8400])	0.5289115646258503
621	[[0.92643976]]	Argentina's per capita income was 70% higher than Italy's, 90% higher than Spain's, 180% higher than Japan's and 400% higher than Brazil's.	అర్జెంటీనా తలసరి ఆదాయం ఇటలీ కంటే 70% అధికం, స్పెయిన్ కంటే 90% అధికం, జపాన్ కంటే 180% అధికం, బ్రెజిల్ కంటే 400% అధికం.	0.92643976	True	True	ఆర్జెంటీనా యొక్క తలసరి ఆదాయం ఇటలీ యొక్క దానికి 70% ఎక్కువ, స్పెయిన్ యొక్క దానికి 90% ఎక్కువ, జపాన్ యొక్క దానికి 180% ఎక్కువ, బ్రెజిల్ యొక్క దానికి 400% ఎక్కువ.	0.0	tensor([0.8957])	0.6136363636363636
623	[[0.9450819]]	Vaibhav Pichad is from Akole tehsil in Ahmednagar district and is the son of former NCP minister Madhukar Pichad.	అహ్మద్‌నగర్‌ జిల్లాలోని అఖోలె మండలానికి చెందిన వైభవ్‌ పిచాడ్‌ ఎన్‌సీపీ మాజీ మంత్రి మధుకర్‌ పిచాడ్‌ తనయుడు.	0.9450819	True	True	వైభవ్ పిచ్చాడ్ అహ్మద్నగర్ జిల్లాలోని ఆకోలే తహసీల్ నుండి ఉండగా, మాజీ ఎన్సీపీ మంత్రులు మాధుకర్ పిచ్చాడ్ గారు వారి కుమారుడు.	0.0	tensor([0.8325])	0.10416666666666666
675	[[0.93178946]]	Book Four appeared in 1742, and a complete revision of the whole poem in the following year.	నాల్గవ పుస్తకం 1742లో ప్రచురించబడింది మరియు తర్వాత సంవత్సరంలో మొత్తం పద్యం యొక్క ఒక సంపూర్ణ సవరణ ప్రచురించబడింది.	0.93178946	True	True	పుస్తకం నాలుగు 1742లో వెలువడింది, మరుసటి సంవత్సరంలో పూర్తి కావ్యానికి సంశోధన జరిగింది.	0.0	tensor([0.7879])	0.13605442176870747
711	[[0.90550685]]	Assam: In Assam during the last 24 hours 169 cases of COVID-19 detected out of 25225 tests conducted.	అస్సాం: గత 24 గంటలలో అస్సాంలో 25225 కోవిడ్ పరీక్షలు జరపగా 169 కొత్త కేసులు బైటపడ్దాయి.	0.90550685	True	True	ఆస్సాం: ఆస్సాంలో గత 24 గంటల్లో 169 కేసులు కోవిడ్-19 పరీక్షల్లో ధృవీకరించబడ్డాయి, 25225 పరీక్షలు నిర్వహించబడ్డాయి.	0.0	tensor([0.8275])	0.35233857615894043
