idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	gpt_3_5_trans	gpt_4o_trans	ollama_trans
221	[[0.9066741]]	Deepak Shirke is an Indian film actor who is known for his work in Hindi and Marathi films.	'दीपक शिर्के' मराठी व हिंदी भाषा चित्रपटांतून काम करणारा अभिनेता आहे.	0.9066741	True	True	दीपक शिर्के हे एक भारतीय चित्रपट अभिनेता आहेत ज्यांच्यासाठी हिंदी आणि मराठी चित्रपटांमध्ये काम करण्याची ओळख आहे.	दीपक शिर्के हे एक भारतीय चित्रपट अभिनेते आहेत, जे हिंदी आणि मराठी चित्रपटांतील त्यांच्या कामासाठी ओळखले जातात.	दीपक शिर्के हा एक भारतीय चित्रपट अभिनेता आहे जो हिंदी आणि मराठी चित्रपटांमधील कामासाठी ओळखला जातो.
308	[[0.90424705]]	The film is produced by Salman's brother-in-law Atul Agnihotri.	या सिनेमाची सलमानचा भावोजी अतुल अग्निहोत्रीने निर्मिती केली होती.	0.90424705	True	True	चित्रपटाची उत्पादनदार सलमानच्या साळीच्या भावुक अतुल अग्निहोत्री यांनी केली आहे.	चित्रपटाचे निर्माते सलमानचे मेहुणे अतुल अग्निहोत्री आहेत.	चित्रपट सलमानचा सावत्र भाऊ अतुल अग्निहोत्री यांनी निर्मित केला आहे.
442	[[0.9414197]]	India has been elected as a Member of the International Telecommunications Union (ITU) Councilfor another 4-year term (2019-2022).	आंतरराष्ट्रीय दूरसंचार संघ (आयटीयू) परिषदेचा सदस्य म्हणून भारताची 2019  ते 2022 अशा 4-वर्षांच्या  कालावधीकरीता पुन्हा निवड झाली आहे.	0.9414197	True	True	भारताला अंतरराष्ट्रीय दूरसंचार संघ (आयटीयू) परिषदेच्या सदस्य म्हणून दुसऱ्या 4 वर्षांच्या कार्यकालासाठी निवड केले आहे (2019-2022).	भारताला आंतरराष्ट्रीय दूरसंचार संघटना (ITU) परिषदेच्या सदस्य म्हणून आणखी ४ वर्षांच्या कार्यकाळासाठी (२०१९-२०२२) निवडण्यात आले आहे.	भारताने आंतरराष्ट्रीय दूरसंचार संघटना (आयटीयू) परिषदेचे सदस्यत्व पुन्हा ४ वर्षांच्या कालावधीसाठी (२०१९-२०२२) मिळवले आहे.
512	[[0.91168576]]	The people of Uttar Pradesh in 2014 have given a new hope to the nation that was shrouded in darkness and despair for 30 years.	30 वर्षांपासून निराशेच्या गर्तेमध्ये बुडून गेलेल्या देशाला आशेचा नवीन किरण दाखवण्याचं काम 2014 मध्ये या उत्तर प्रदेशच्या जनतेने केले आहे.	0.91168576	True	True	2014 मध्ये उत्तर प्रदेशातील लोकांनी राष्ट्राला नवीन आशा दिली आहे की 30 वर्षांपासून अंधकारात आणि निराशेत ढकललेला होता.	उत्तर प्रदेशातील लोकांनी 2014 मध्ये त्या राष्ट्राला एक नवीन आशा दिली आहे जे 30 वर्षे अंधकार आणि निराशेने वेढलेले होते.	उत्तर प्रदेशचे लोक २०१४ मध्ये राष्ट्राला ३० वर्षांपासून अंधकार आणि निराशेने वेढलेल्या देशाला नवी आशा दिली.
584	[[0.90276754]]	According to global naval analysts, Chinese navy currently has over 50 submarines and about 350 ships.	जागतिक नौदल विश्लेषकांच्या मते, चीनकडे 50 पेक्षा जास्त पाणबुड्या आणि सुमारे 350 जहाजं आहेत.	0.90276754	True	True	जगभरातील नौसेना विश्लेषकांनुसार, चीनी नौसेना वर्तमानपत्ता ५० पेक्षा अधिक उपसमुद्रपोते आणि लवण ३५० जहाजांची आहे.	जागतिक नौदल विश्लेषकांच्या मते, सध्या चिनी नौदलाकडे ५० हून अधिक पाणबुड्या आणि सुमारे ३५० जहाजे आहेत.	जागतिक नौदल विश्लेषकांच्या मते, चीनच्या नौदलात सध्या ५० पेक्षा जास्त पाणबुड्या आणि सुमारे ३५० जहाजे आहेत.
646	[[0.9290212]]	The police are investigating if it was a suicide or a murder.	ही आत्महत्या आहे की घातपात आहे याचा पोलिस तपास करत आहेत.	0.9290212	True	True	पोलिसांनी तपासणी करीत आहेत की ते आत्महत्या आहे किव्हा हत्या आहे.	पोलिस तपास करत आहेत की हे आत्महत्या होती की खून.	पोलिस हे आत्महत्या की हत्या होती का तपास करत आहेत.
731	[[0.9175761]]	One passenger was killed and three others were injured in the mishap.	या अपघातात एकाचा मृत्यू झाला असून तीन प्रवासी जखमी झाले आहेत.	0.9175761	True	True	अपघातात एक यात्रीची मृत्यु झाली आणि त्यातून तीन अशा व्यक्ती जखमी झाले.	या अपघातात एक प्रवासी ठार झाला आणि तीन जण जखमी झाले.	एक प्रवासी मृत्युमुखी झाला आणि तीन जणांना जखमी झाले.
757	[[0.9063499]]	However, it is nearly after 100 years that for the first time we have succeeded in sending a large contingent of 119 players to Rio.	मात्र सुमारे शंभर वर्षापेक्षा जास्त काळानंतर पहिल्यांदा 119 खेळाडूंचे मोठे पथक रिओमध्ये पोहोचवण्यात आपण यशस्वी ठरलो आहोत.	0.9063499	True	True	हे तर कितीही वर्षे झाले आहे, पण पहिल्यांदाच आपल्याला ११९ खेळाडूंचे मोठे समूह रियोला पाठवण्यात यश मिळालं आहे.	मात्र, सुमारे 100 वर्षांनंतर पहिल्यांदाच आम्ही 119 खेळाडूंचा मोठा संघ रिओला पाठवण्यात यशस्वी झालो आहोत.	पण १०० वर्षांनंतर प्रथमच आम्हाला रियो ला ११९ खेळाडूंचा मोठा पथक पाठविण्यात यश मिळाले.
771	[[0.9097842]]	But nobody knew who she was.	परंतु ती व्यक्ती कोण, याबाबत कुणालाच काही कल्पना नव्हती.	0.9097842	False	True	पण कोणीही तिचं कोण होतं, हे कोणाला माहित नव्हतं.	पण कोणालाच माहिती नव्हते की ती कोण होती.	पण ती कोण होती हे कुणालाच माहीत नव्हते.
801	[[0.9098934]]	He is former World No.1 ranked Trap Shooter.	तो माजी विश्व नंबर 1 मधील ट्रॅप शूटर आहे.	0.9098934	False	True	तो पूर्व जगातील क्रमांक 1 रॅंक केलेला ट्रॅप शूटर आहे.	तो माजी विश्व क्रमांक १ रँक असलेला ट्रॅप शूटर आहे.	तो माजी विश्वविक्रमांक १ ट्रॅप शूटर आहे.
