idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
107	[[0.90125185]]	Before implementation of 7th Central Pay Commission, the ceiling under CCS (Pension) Rules, 1972 was Rs. 10 Lakh.	7મું પગાર પંચ અમલમાં આવ્યું તે પહેલાં સીસીએસ (પેન્શન) નિયમો-1972 હેઠળ ઉચ્ચત્તમ મર્યાદા રૂ.10 લાખ હતી.	0.90125185	True	True
221	[[0.9075888]]	Bollywood actor Sushant Singh Rajput's death case is getting complicated with new revelations being made each day.	બોલિવૂડ એક્ટર સુશાંત સિંહ રાજપૂતની મોતને લઈને રોજ નવા નવા ખુલાસા થઈ રહ્યાં છે.	0.9075888	True	True
247	[[0.903666]]	Dr Suess riding a bicycle on a busy car filled street.	ડૉ. સુસે વ્યસ્ત કારથી ભરેલી શેરીમાં સાયકલ ચલાવે છે.	0.903666	True	True
294	[[0.91363645]]	Saiyad Usman was the minister of Qutubul Alam, also known as Saiyad Burhanuddin.	સૈયદ ઉસ્માન, કુતુબુલ આલમના મંત્રી હતા, જેમને સૈયદ બુરહાનુદ્દીન પણ કહેવામાં આવે છે.	0.91363645	True	True
322	[[0.92706436]]	Over 85,000 students are enrolled in schools here, which makes up 40 percent of the refugee population.	85,000 થી વધુ વિદ્યાર્થીઓ અહીંની શાળાઓમાં નોંધણી કરાવી છે, જે 40 ટકા બનાવે છે શરણાર્થીઓની વસ્તી.	0.92706436	True	True
435	[[0.90250266]]	Defence Minister Rajnath Singh and Uttar Pradesh Chief Minister Yogi Adityanath attended the event.	આ કાર્યક્રમમાં રક્ષા મંત્રી રાજનાથ સિંહ અને મુખ્ય મંત્રી યોગી આદિત્યનાથ હાજર હતા	0.90250266	True	True
444	[[0.9014485]]	Mira shared the photos on her Instagram story.	મીરાએ આ તસવીર તેની ઇન્સ્ટાગ્રામ સ્ટોરી પર શેર કરી છે.	0.9014485	False	True
463	[[0.90519917]]	Chinese students were also granted scholarships to study Hindi in India.	ભારતમાં હિન્દી શીખવા માટે ચીની વિદ્યાર્થીઓને શિષ્યવૃત્તિ આપવાનું પણ કહેવામાં આવ્યું હતું.	0.90519917	True	True
471	[[0.9222301]]	"""Section 10(1)(i) of The Divorce Act of 1869 says, """"Any marriage solemnized, whether before or after the commencement of the Indian Divorce (Amendment) Act, 2001, may, on a petition presented to the District Court either by the husband or the wife, be dissolved on the ground that since the solemnization of the marriage, the respondent has committed adultery."""""""	"""1869ના તલાક અધિનિયમની કલમ 10(1)(i)માં કહેવામાં આવ્યું છે કે, """"ભારતીય વિવાહ (સંશોધન) અધિનિયમ, 2001 લાગુ થયા પહેલા અને પછી પતિ કે પત્નીમાંથી કોઈ એક દ્વારા જિલ્લા અદાલતમાં દાખલ અરજી પર જો પ્રતિવાદીએ વ્યાભિચાર કર્યો હોય તો લગ્નને સમાપ્ત કરી શકાય છે"""	0.9222301	True	True
516	[[0.9435909]]	Uttar Pradesh Chief Minister Yogi Adityanath has expressed grief over the incident.	ઉત્તર પ્રદેશના મુખ્યમંત્રી યોગી આદિત્યનાથે ઘટના પર દુખ વ્યક્ત કર્યું છે.	0.9435909	True	True
