src	gpt_3_5_trans	gpt_4o_trans	ollama_trans
JMM says Soren's helicopter take off delayed over PM's security protocol, writes to President Murmu	JMM म्हणते की सोरेनच्या हेलिकॉप्टरचा प्रधानमंत्रीच्या सुरक्षा नियमांच्या कारणे विलंबित केला, राष्ट्रपती मुर्मूला लिहिलं आहे।	JMM म्हणते की सोरेन यांच्या हेलिकॉप्टरचे उड्डाण पंतप्रधानांच्या सुरक्षा प्रोटोकॉलमुळे उशिरा झाले आहे, राष्ट्रपती मुर्मू यांना पत्र लिहिले आहे.	जेएमएम सांगते की, सोरेन यांचे हेलिकॉप्टरचे उड्डाण पंतप्रधानांच्या सुरक्षा प्रोटोकॉलमुळे विलंबित झाले, राष्ट्रपती मुर्मू यांना पत्र लिहिले.
The king who defied the British: Uncovering the tale of Pazhassi raja’s rebellion	ब्रिटिशांच्या विरोधात उतरणार्या राजाची कथा उघडणारा राजा: पाझसी राजांच्या विद्रोहाची कथा	ब्रिटिशांशी ज्या राजाने संघर्ष केला: पझ्हासी राजांच्या बंडाची कथा उलगडताना.	राजे ज्यांनी ब्रिटिशांचा विरोध केला: पझास्सी राजांच्या बंडाची कथा उघड करत आहोत
Vinesh Phogat's retirement U-turn predicted after her latest Instagram post creates buzz on social media	विनेश फोगाटची निवृत्ती U-टर्न त्यांच्या नवीन इंस्टाग्राम पोस्टने सोशल मीडियावर हलचल उत्पन्न करते, त्यानचे अनुमान लागते.	विनेश फोगाट यांच्या नवीनतम इंस्टाग्राम पोस्टमुळे सोशल मीडियावर चर्चेला उधाण आले आहे, त्यामुळे त्यांच्या निवृत्तीच्या निर्णयाबाबत पुन्हा विचार करण्याची शक्यता वर्तवली जात आहे.	विनेश फोगट यांच्या निवृत्तीच्या वळणाची अटकळ करण्यात आली आहे त्यांच्या नवीन इंस्टाग्राम पोस्टने सोशल मीडियावर खळबळ उडाली आहे.
The Pennsylvania push: Kamala Harris, Donald Trump spend final campaign hours in swing state	पेन्सिल्व्हेनिया पुश: कमला हॅरिस, डोनाल्ड ट्रंप स्विंग राज्यातील अंतिम निवडणूक तास व्यतीत करतात.	पेनसिल्व्हेनियाची धडक: कमला हॅरिस, डोनाल्ड ट्रम्प स्विंग राज्यात अंतिम प्रचार तास घालवतात.	पेन्सिल्व्हानिया पुश: कामाला हॅरिस, डोनाल्ड ट्रंप अंतिम प्रचार तास स्विंग स्टेटमध्ये व्यतीत करतात.
Delhi engulfed in smog, toxic foam in Yamuna: Pics that capture national capital's pollution woes	दिल्लीत कोहरा घालवून, यमुना नद्यात विषाक्त फोम: राष्ट्रीय राजधानीच्या प्रदूषणाच्या संकटांची छायाचित्रे	दिल्ली धुक्यात बुडाली, यमुनेत विषारी फेस: राष्ट्रीय राजधानीच्या प्रदूषणाच्या समस्यांचे चित्रण करणाऱ्या छायाचित्रांमध्ये.	दिल्ली धूम्रपानाने वेढली गेली आहे, यमुनेत विषारी फोम: राष्ट्रीय राजधानीच्या प्रदूषणाच्या वेदना टिपणाऱ्या चित्रां
Will Muslim boycott of Kamala send Trump to the White House?	कामाला याची मुस्लिम बॉयकॉट ट्रंपला सफरचंद्र घरात जाऊ शकेल का?	"""कमला यांच्या बहिष्कारामुळे मुस्लिमांनी ट्रम्प यांना व्हाईट हाऊसमध्ये पाठवणार का?"""	कमला ला मुस्लिमांचा बहिष्कार ट्रंपला व्हाइट हाउसवर पाठवील का?
Why Indian batters are struggling against left-arm spin	भारतीय बॅट्समन का वाम हाताच्या स्पिनर्सबाबत संघर्ष का होत आहे?	भारतीय फलंदाज डावखुऱ्या फिरकीविरुद्ध संघर्ष का करत आहेत?	भारतीय बॅट्समॅन लेफ्ट-आर्म स्पिन विरुद्ध का संघर्ष करत आहेत
JD Vance calls Kamala Harris 'trash' at Atlanta rally: 'In 2 days we're taking out the garbage'	जेडी व्हान्स एटलंटा रॅलीत कमला हॅरिसला 'कचरा' म्हणतो: '2 दिवसांत कचरा बाहेर काढतोय'	JD Vance यांनी Atlanta रॅलीमध्ये Kamala Harris यांना 'कचरा' म्हटले: '२ दिवसांत आम्ही कचरा बाहेर काढत आहोत'.	जे.डी. व्हान्स अटलांटा रॅलीमध्ये कमला हॅरिसला 'कचरा' म्हणतात: '२ दिवसांत आम्ही कचरा काढून टाकत आहोत'
Meghan and Harry feel life in US hasn't been what they expected: Ex-staff	मेघान आणि हॅरीने विचार केले आहे की अमेरिकेतील जीवन त्यांना अपेक्षित असले ते नाही: अॅक्झ-कर्मचाऱ्यांसाठी	मेघन आणि हॅरी यांना वाटतं की अमेरिकेतील जीवन त्यांच्या अपेक्षेप्रमाणे नसलं: माजी कर्मचारी	मेगन आणि हॅरी यांना अमेरिकेतील जीवन त्यांच्या अपेक्षेप्रमाणे नाही असे वाटते: माजी स्टाफ.
Elon Musk reacts to reports that he could be deported for immigration violation	एलॉन मस्कांनी प्रतिक्रिया दिली की त्याला प्रवास उल्लंघनाच्या कारणे नाकारणीसाठी निर्वासित केले जाऊ शकतो असं अहवालांवर प्रतिक्रिया दिली.	इलॉन मस्क यांच्या बद्दल असे अहवाल आले आहेत की, त्यांनी इमिग्रेशनचे नियम मोडले असल्यास त्यांना देशातून बाहेर काढले जाऊ शकते, यावर त्यांनी प्रतिक्रिया दिली आहे.	एलोन मस्क त्यांच्या वीजा उल्लंघनाबद्दल होणाऱ्या वृत्तपत्रांना प्रतिसाद देतात.
