idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words
221	[[0.9066741]]	Deepak Shirke is an Indian film actor who is known for his work in Hindi and Marathi films.	'दीपक शिर्के' मराठी व हिंदी भाषा चित्रपटांतून काम करणारा अभिनेता आहे.	0.9066741	True	True
308	[[0.90424705]]	The film is produced by Salman's brother-in-law Atul Agnihotri.	या सिनेमाची सलमानचा भावोजी अतुल अग्निहोत्रीने निर्मिती केली होती.	0.90424705	True	True
442	[[0.9414197]]	India has been elected as a Member of the International Telecommunications Union (ITU) Councilfor another 4-year term (2019-2022).	आंतरराष्ट्रीय दूरसंचार संघ (आयटीयू) परिषदेचा सदस्य म्हणून भारताची 2019  ते 2022 अशा 4-वर्षांच्या  कालावधीकरीता पुन्हा निवड झाली आहे.	0.9414197	True	True
512	[[0.91168576]]	The people of Uttar Pradesh in 2014 have given a new hope to the nation that was shrouded in darkness and despair for 30 years.	30 वर्षांपासून निराशेच्या गर्तेमध्ये बुडून गेलेल्या देशाला आशेचा नवीन किरण दाखवण्याचं काम 2014 मध्ये या उत्तर प्रदेशच्या जनतेने केले आहे.	0.91168576	True	True
584	[[0.90276754]]	According to global naval analysts, Chinese navy currently has over 50 submarines and about 350 ships.	जागतिक नौदल विश्लेषकांच्या मते, चीनकडे 50 पेक्षा जास्त पाणबुड्या आणि सुमारे 350 जहाजं आहेत.	0.90276754	True	True
646	[[0.9290212]]	The police are investigating if it was a suicide or a murder.	ही आत्महत्या आहे की घातपात आहे याचा पोलिस तपास करत आहेत.	0.9290212	True	True
731	[[0.9175761]]	One passenger was killed and three others were injured in the mishap.	या अपघातात एकाचा मृत्यू झाला असून तीन प्रवासी जखमी झाले आहेत.	0.9175761	True	True
757	[[0.9063499]]	However, it is nearly after 100 years that for the first time we have succeeded in sending a large contingent of 119 players to Rio.	मात्र सुमारे शंभर वर्षापेक्षा जास्त काळानंतर पहिल्यांदा 119 खेळाडूंचे मोठे पथक रिओमध्ये पोहोचवण्यात आपण यशस्वी ठरलो आहोत.	0.9063499	True	True
771	[[0.9097842]]	But nobody knew who she was.	परंतु ती व्यक्ती कोण, याबाबत कुणालाच काही कल्पना नव्हती.	0.9097842	False	True
801	[[0.9098934]]	He is former World No.1 ranked Trap Shooter.	तो माजी विश्व नंबर 1 मधील ट्रॅप शूटर आहे.	0.9098934	False	True
813	[[0.91361463]]	The Defence Research and Development Organisation (DRDO) developed the missile.	संरक्षण संशोधन आणि विकास संस्था म्हणजेच डीआरडीओने (DRDO) हे क्षेपणास्त्र विकसीत केले आहे.	0.91361463	True	True
850	[[0.9264777]]	From Congress, party chief Ashok Choudhary, Madan Mohan Jha, Abdul Jalil Mastan and Awdesh Kumar Singh were sworn in.	काँग्रेसकडून पक्षाचे प्रमुख अशोक चौधरी, मदन मोहन झा, अब्दुल जलील मस्तान आणि अवदेशकुमार सिंग यांना मंत्रीपदाची शपथ देण्यात आली.	0.9264777	True	True
870	[[0.9502048]]	Prime Minister's Office PM to participate in Buddha Jayanti Celebrations in New Delhi tomorrow On the occasion of Buddha Jayanti, Prime Minister Narendra Modi will join the celebrations at Indira Gandhi Indoor Stadium, in the Capital on Monday, 30th April, 2018.	पंतप्रधान कार्यालय नवी दिल्ली येथे उद्या बुद्ध जयंती उत्सवात पंतप्रधानांचा सहभाग नवी दिल्ली, 29 एप्रिल 2018 बुद्ध जयंतीच्या निमित्ताने, पंतप्रधान नरेंद्र मोदी सोमवारी, 30 एप्रिल, 2018 रोजी राजधानीत इंदिरा गांधी इनडोअर स्टेडियमच्या कार्यक्रमात सहभागी होणार आहेत.	0.9502048	True	True
955	[[0.9132027]]	Talking about the film, Anuradha Aggarwal, Head - Infotainment, English, and Kids, Star India, said, In our upcoming film The Next Frontier: Indias Smart Cities, we will showcase a national initiative that has transformed the lives of people across four lighthouse cities.	चित्रपटाविषयी बोलताना, स्टार इंडियाच्या इंफोटेनमेंट, इंग्लिश आणि किड्सच्या प्रमुख अनुराधा अग्रवाल म्हणाल्या, आमचा आगामी चित्रपट ‘द नेक्स्ट फ्रंटियर: इंडियाज स्मार्ट सिटीज’ मध्ये आम्ही या चार शहरांमधील लोकांच्या जीवनात बदल घडवून आणणाऱ्या राष्ट्रीय उपक्रमा विषयी दाखविले आहे.	0.9132027	True	True
973	[[0.90455645]]	However, the courts rejected both applications.	मात्र, न्यायालयाने त्यांच्या या दोन्ही मागण्या फेटाळून लावल्या आहेत.	0.90455645	False	True
985	[[0.9351057]]	His family consists of wife, four daughters and a son.	त्यांच्या मागे पत्नी, एक मुलगा, चार मुली असा परिवार आहे.	0.9351057	True	True
