idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
36	[[0.9418835]]	As many as 32 candidates including SP ,BSP and smaller parties and independents candidates lost their deposits.	ಎಸ್ಪಿ, ಬಿಎಸ್ಪಿ ಮತ್ತು ಸಣ್ಣ ಪಕ್ಷಗಳು ಮತ್ತು ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳು ಸೇರಿದಂತೆ 32 ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಠೇವಣಿ ಕಳೆದುಕೊಂಡಿದ್ದಾರೆ.	0.9418835	True	True	ಅವರುಗಳ ೩೨ ಅಭ್ಯರ್ಥಿಗಳು ಎಸ್‌ಪಿ, ಬಿಎಸ್‌ಪಿ ಹಾಗು ಸಣ್ಣ ಪಕ್ಷಗಳ ಜೊತೆಗೆ ಸ್ವತಂತ್ರ ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಜಾಮೀನು ಕಳೆದುಕೊಂಡರು.
186	[[0.918791]]	Around 1,130 constables are taking training at the Padma training centre.	ಪದ್ಮಾ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ಸುಮಾರು 1 ಸಾವಿರದ 130 ಕಾನ್ಸ್ ಟೇಬಲ್ ಗಳು ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.	0.918791	True	True	ಸುಮಾರು 1,130 ಕಾನ್ಸ್ಟೇಬಲ್‌ಗಳು ಪದ್ಮಾ ತರಬೇತಿ ಕೇಂದ್ರದಲ್ಲಿ ತರಬೇತಿ ಪಡೆಯುತ್ತಿದ್ದಾರೆ.
201	[[0.9373034]]	Design of the home made mask has been finalized, around 150 Gamochas purchased and two sewing machines arranged (6 homemade masks can be prepared from one Gamocha).	ಮನೆಯಲ್ಲಿ ತಯಾರಿಸಿದ ಮುಖಗವಸಿನ ವಿನ್ಯಾಸವನ್ನು ಅಂತಿಮಗೊಳಿಸಲಾಗಿದೆ, ಸುಮಾರು 150 ಗಮೊಚಾಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಹೊಲಿಗೆ ಯಂತ್ರಗಳನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಲಾಗಿದೆ (ಒಂದು ಗಮೊಚಾದಿಂದ 6 ಮುಖಗವಸುಗಳನ್ನು ತಯಾರಿಸಬಹುದು).	0.9373034	True	True	ನಿರ್ಮಾಣ ಸಾಧನೆಯ ಮನೆ ಮಾಡು ಮುಖವಾಡದ ವಿನ್ಯಾಸವನ್ನು ಅಂತಿಮಗೊಳಿಸಲಾಗಿದೆ, ಸುಮಾರು 150 ಗಾಮೋಚಗಳನ್ನು ಖರೀದಿಸಲಾಗಿದೆ ಮತ್ತು ಎರಡು ಕೈಮಗ್ಗಗಳನ್ನು ಏರ್ಪಡಿಸಲಾಗಿದೆ (ಒಂದು ಗಾಮೋಚದಿಂದ 6 ಮನೆ ಮಾಡು ಮುಖವಾಡಗಳನ್ನು ತಯಾರಿಸಬಹುದು).
383	[[0.92741233]]	India scored 347 runs for the loss of 4 wickets in 50 overs.	ಅವರ ಇನ್ನಿಂಗ್ಸ್ ನಿಂದಾಗಿ ಭಾರತ ನಿಗದಿತ 50 ಓವರ್‍ಗಳಲ್ಲಿ 4 ವಿಕೆಟ್‍ಗಳ ನಷ್ಟದಲ್ಲಿ 347 ರನ್ ಗಳಿಸಿತ್ತು.	0.92741233	True	True	ಭಾರತವು 50 ಓವರ್‍ಗಳಲ್ಲಿ 4 ವಿಕೆಟ್‍ಗಳ ನಷ್ಟಕ್ಕೆ 347 ರನ್‍ಗಳನ್ನು ಗಳಿಸಿದೆ.
411	[[0.91698915]]	Kiara Advani to play Kartik Aaryan's leading lady in Bhool Bhulaiyaa 2	‘ಭೂಲ್ ಭೂಲೈಯಾ 2’ ಚಿತ್ರದಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್ಯನ್ ಗೆ ನಾಯಕಿ ಕಿಯಾರಾ ಅಡ್ವಾಣಿ	0.91698915	True	True	ಕಿಯಾರಾ ಅಡ್ವಾನಿ ಅವರು ಭೂಲ್ ಭುಲಯ್ಯಾ 2ರಲ್ಲಿ ಕಾರ್ತಿಕ್ ಆರ್ಯನ್ ಅವರ ನಾಯಕಿಯರಾಗಿ ನಟಿಸಲಿದ್ದಾರೆ.
478	[[0.9042288]]	Files created and edited through the Google Docs suite are saved in Google Drive.	ಆಫೀಸ್ ಸೂಟ್ ಮೂಲಕ ರಚಿಸಲಾದ ಮತ್ತು ಸಂಪಾದಿಸಿದ ಫೈಲ್‌ಗಳನ್ನು Google ಡ್ರೈವ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗುತ್ತದೆ.	0.9042288	True	True	ಗೂಗಲ್ ಡಾಕ್ಸ್ ಸೂಟ್ ಮೂಲಕ ಸೃಷ್ಟಿಸಲಾದ ಮತ್ತು ಸಂಪಾದಿಸಲಾದ ಫೈಲ್‌ಗಳು ಗೂಗಲ್ ಡ್ರೈವ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗುತ್ತವೆ.
486	[[0.90410113]]	Several of Thomas' brothers remained in Virginia, one of whom married a daughter of Patrick Henry.	ಹಲವಾರು ಥಾಮಸ್ ಸಹೋದರರು ವರ್ಜಿನಿಯಾದಲ್ಲಿಯೇ ಇದ್ದರು, ಇವರಲ್ಲಿ ಒಬ್ಬರು ಪ್ಯಾಟ್ರಿಕ್ ಹೆನ್ರಿಯ ಪುತ್ರಿ ವಿವಾಹವಾದರು.	0.90410113	True	True	ಥಾಮಸ್ ಅವರ ಸೋದರರಲ್ಲಿ ಕೆಲವರು ವರ್ಜೀನಿಯಾದಲ್ಲಿ ಉಳಿದರು, ಅವರಲ್ಲಿ ಒಬ್ಬರು ಪಾಟ್ರಿಕ್ ಹೆನ್ರಿ ಅವರ ಪುತ್ರಿಯರಲ್ಲಿ ಒಬ್ಬಳನ್ನು ವಿವಾಹವಾದರು.
598	[[0.93726647]]	The Prime Minister, Shri Narendra Modi, has greeted the people on the occasion of Navroz, the Parsi new year.	ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿ ಅವರು, ಪಾರ್ಸಿ ಹೊಸ ವರ್ಷ ನವರೋಜ್ ಸಂದರ್ಭದಲ್ಲಿ ಜನತೆಗೆ ಶುಭ ಕೋರಿದ್ದಾರೆ.	0.93726647	True	True	ಪ್ರಧಾನ ಮಂತ್ರಿಗಳು ನರೇಂದ್ರ ಮೋದಿ ಅವರು, ನವ್ರೋಜ್ ಹಬ್ಬದ ಸಂದರ್ಭದಲ್ಲಿ ಜನಗಳಿಗೆ ಶುಭಾಶಯಗಳನ್ನು ಸಲ್ಲಿಸಿದ್ದಾರೆ.
632	[[0.9216981]]	WhatsApp announced the MyGov helpline (+919013151515) last month.	ಇನ್ನು ವಾಟ್ಸಾಪ್ ಕಳೆದ ತಿಂಗಳು ಮೈಗೊವ್ ಸಹಾಯವಾಣಿ (+919013151515) ಅನ್ನು ಸಹ ಘೋಷಣೆ ಮಾಡಿತ್ತು.	0.9216981	False	True	ವಾಟ್ಸ್‍ಅಪ್ ಅವರು ಕೊನೆಯ ತಿಂಗಳು ಮೈಗೋವ್ ಹೆಲ್ಪ್ಲೈನ್ (+919013151515) ಅನ್ನು ಪ್ರಕಟಿಸಿದರು.
651	[[0.9173553]]	About 50-65 percent of students in HE institutions like Central Universities, IITs, IIITs, NITs, IISERs are participating in some form of e-learning	ಕೇಂದ್ರೀಯ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳು, ಐಐಟಿಗಳು, ಐಐಐಟಿಗಳು, ಎನ್ಐಟಿಗಳು, ಐಐಎಸ್ಇಆರ್ ಗಳಂತಹ ಉನ್ನತ ಶಿಕ್ಷಣ ಸುಮಾರು 50-65 ಪ್ರತಿಶತದಷ್ಟು ವಿದ್ಯಾರ್ಥಿಗಳು ಕೆಲವು ರೀತಿಯ ಇ-ಕಲಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.	0.9173553	True	True	ಸೆಂಟ್ರಲ್ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳು, ಐಐಟಿಗಳು, ಐಐಐಟಿಗಳು, ಎನ್ಐಟಿಗಳು, ಐಐಎಸ್ಇಆರ್ಗಳ ರೀತಿಯ ಉನ್ನತ ಶಿಕ್ಷಣ ಸಂಸ್ಥೆಗಳಲ್ಲಿನ ವಿದ್ಯಾರ್ಥಿಗಳ ಸುಮಾರು 50-65 ಪ್ರತಿಶತದವರು ಯಾವುದಾದರೂ ರೂಪದ ಇ-ಕಲಿಕೆಯಲ್ಲಿ ಭಾಗವಹಿಸುತ್ತಿದ್ದಾರೆ.
