idx	las	src	tgt	las_score_dbl	src_gt_8_words	tgt_gt_8_words	ollama_trans
25	[[0.9318145]]	However, there has been no official statement on this yet.	అయితే ఈ విషయమై ఆయన నుండి ఇప్పటి వరకు ఎలాంటి అధికారిక ప్రకటన కూడా వెలువడలేదు.	0.9318145	True	True	అయితే, ఇంకా ఈ విషయంపై అధికారిక ప్రకటన రాలేదు.
102	[[0.91648906]]	Rajasthan Sports University (Hindi: ) is a newly established first public sports university situated in the Jhunjhunu Town of the Indian state Rajasthan to promote the sports education in state Rajasthan.	రాజస్థాన్ క్రీడా విశ్వవిద్యాలయం, రాజస్థాన్‌ రాష్ట్రంలో క్రీడా విద్యను ప్రోత్సహించడానికి ఝున్‌ఝును పట్టణంలో కొత్తగా స్థాపించబడిన మొదటి ప్రభుత్వ క్రీడా విశ్వవిద్యాలయం.	0.91648906	True	True	రాజస్థాన్ స్పోర్ట్స్ యూనివర్సిటీ (హిందీ: ) రాజస్థాన్ రాష్ట్రంలోని ఝున్ఝును పట్టణంలో ఉన్న కొత్తగా స్థాపించబడిన మొదటి ప్రభుత్వ స్పోర్ట్స్ యూనివర్సిటీ, రాజస్థాన్ రాష్ట్రంలో క్రీడా విద్యను ప్రోత్సహించడానికి.
440	[[0.9048451]]	In fulfillment of Isaiah 21: 8, what watchman has God had in our time?	యెషయా 21: 8 నెరవేర్పులో, మన కాలంలో ఏ “కావలివాడు ” దేవునికి ఉన్నాడు?	0.9048451	True	True	ఇసая 21: 8 లో పూర్తి కావడానికి, మన కాలంలో దేవుడు ఏ వీక్షకుడిని కలిగి ఉన్నాడు?
508	[[0.919876]]	In 1995 Bavaria introduced direct democracy on the local level in a referendum.	1995లో బవేరియా ప్రత్యక్ష ప్రజాస్వామ్యాన్ని ప్రజాభిప్రాయ సేకరణలోని స్థానిక స్థాయిలో ప్రవేశపెట్టింది.	0.919876	True	True	1995లో బవేరియా స్థానిక స్థాయిలో ప్రత్యక్ష ప్రజాస్వామ్యాన్ని ఒక రేఫరెండం ద్వారా ప్రవేశపెట్టింది.
520	[[0.93472356]]	However, an official announcement in this regard is yet to be made.	అయితే ఇందుకు సంబంధించిన అధికారిక ప్రకటన మాత్రం ఇంకా వెలువడాల్పి ఉంది.	0.93472356	True	True	అయితే, ఈ సందర్భంలో అధికారిక ప్రకటన ఇంకా వెలువడలేదు.
531	[[0.90108675]]	Of those interviewed, 89 percent said that it takes good health. 79 percent mentioned a satisfying marriage or partnership. 62 percent pointed to the rewards of parenthood. and 51 percent thought a successful career was needed for happiness.	అలా ఇంటర్వ్యూ చేయబడినవారిలో 89 శాతం మంది సంతోషంగా ఉండాలంటే మంచి ఆరోగ్యం అవసరం అన్నారు. 79 శాతం మంది సంతృప్తికరమైన కుటుంబ జీవితం లేక భాగస్వామ్యం అన్నారు. 62 శాతం మంది తల్లిదండ్రులవడం ద్వారా లభించే ప్రతిఫలాలు అన్నారు. 51 శాతం మంది విజయవంతమైన జీవనోపాధి మార్గం అవసరం అన్నారు.	0.90108675	True	True	ఇంటర్వ్యూ చేసిన వారిలో, 89 శాతం మంది ఆరోగ్యం ఉండాలని చెప్పారు. 79 శాతం మంది సంతోషకరమైన వివాహం లేదా భాగస్వామ్యం ఉండాలని చెప్పారు. 62 శాతం మంది పిల్లల సంతోషం ఉండాలని చెప్పారు. మరియు 51 శాతం మంది సఫల కెరీర్ ఉండాలని చెప్పారు.
536	[[0.93838733]]	More details about the film will be revealed soon.	ఈ సినిమా గురించి మరిన్ని వివరాలను త్వరలో రివీల్ చెయ్యబోతున్నారు .	0.93838733	True	True	చిత్రం గురించి మరిన్ని వివరాలు త్వరలో బహిర్గతం అవుతాయి.
585	[[0.92177737]]	Teach your children Bible truth whenever possible (See paragraph 10)	అవకాశం దొరికినప్పుడల్లా మీ పిల్లలకు బైబిలు సత్యాన్ని బోధించండి (10వ పేరా చూడండి)	0.92177737	True	True	మీ పిల్లలకు సాధ్యమైనంత వరకు బైబిల్ సత్యాన్ని బోధించండి (పేరా 10 చూడండి)
621	[[0.92643976]]	Argentina's per capita income was 70% higher than Italy's, 90% higher than Spain's, 180% higher than Japan's and 400% higher than Brazil's.	అర్జెంటీనా తలసరి ఆదాయం ఇటలీ కంటే 70% అధికం, స్పెయిన్ కంటే 90% అధికం, జపాన్ కంటే 180% అధికం, బ్రెజిల్ కంటే 400% అధికం.	0.92643976	True	True	ఆర్జెంటీనా తలసరి ఆదాయం ఇటలీ కంటే 70% ఎక్కువ, స్పెయిన్ కంటే 90% ఎక్కువ, జపాన్ కంటే 180% ఎక్కువ, బ్రెజిల్ కంటే 400% ఎక్కువ.
623	[[0.9450819]]	Vaibhav Pichad is from Akole tehsil in Ahmednagar district and is the son of former NCP minister Madhukar Pichad.	అహ్మద్‌నగర్‌ జిల్లాలోని అఖోలె మండలానికి చెందిన వైభవ్‌ పిచాడ్‌ ఎన్‌సీపీ మాజీ మంత్రి మధుకర్‌ పిచాడ్‌ తనయుడు.	0.9450819	True	True	వైభవ్ పిచ్చాడ్ అహ్మద్నగర్ జిల్లాలోని ఆకోలే తహసీల్ నుండి వచ్చినవాడు, మాజీ ఎన్సీపీ మంత్రి మాధుకర్ పిచ్చాడ్ కుమారుడు.
